Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
NCY30,OUT017,2976.002001
FDQ46,OUT049,1832.268389
FDG58,OUT027,3937.929163
FDK33,OUT017,3787.62424
NCD07,OUT045,1788.985325
NCX29,OUT027,3767.260861
NCT42,OUT013,2363.76774
DRN59,OUT035,710.5740422
FDI44,OUT035,1358.14554
FDA45,OUT049,2649.510429
FDP31,OUT045,657.5949986
FDY01,OUT046,1785.584593
FDT09,OUT018,1667.167257
DRH03,OUT027,2509.971567
FDA36,OUT018,2678.60094
NCF31,OUT017,2451.502811
FDG14,OUT049,2463.769094
FDG28,OUT027,6065.924445
FDU14,OUT049,4135.704857
FDY47,OUT019,301.2196245
FDI56,OUT049,1449.281477
DRD01,OUT013,740.7545179
FDM22,OUT046,779.9290013
FDH33,OUT013,611.3203829
DRZ24,OUT013,1831.422735
NCQ38,OUT046,1599.85749
FDO16,OUT027,2410.848628
FDU07,OUT027,3857.832201
NCB07,OUT013,2940.010985
FDU48,OUT045,1806.839632
NCM43,OUT045,2521.399868
FDR31,OUT010,348.0838872
DRK49,OUT018,497.7066268
NCI30,OUT010,565.420959
DRD60,OUT017,3015.322442
NCG19,OUT046,3749.385603
FDH12,OUT035,1656.289167
FDM32,OUT035,1392.138806
FDM27,OUT035,2507.013322
NCU53,OUT027,4332.098383
NCQ18,OUT046,1528.44238
FDS10,OUT013,2853.814462
FDB33,OUT027,3990.849184
FDI12,OUT013,1403.265058
NCW42,OUT013,3643.258125
NCC06,OUT018,1625.488679
FDW02,OUT017,1936.798371
NCD43,OUT017,1663.194215
FDM57,OUT018,1220.915005
FDA58,OUT017,3884.188532
FDK56,OUT046,3000.336105
FDP52,OUT045,3759.200936
FDW20,OUT018,1565.513839
FDS52,OUT049,1569.563683
NCT29,OUT018,1599.072718
NCL54,OUT013,2860.544943
FDC05,OUT045,3006.230223
FDF34,OUT035,3088.535401
FDP03,OUT027,3031.293437
FDD32,OUT010,144.3175116
FDZ10,OUT045,1839.117777
FDZ40,OUT035,791.540782
FDD51,OUT018,530.6696702
NCY30,OUT019,480.9195424
FDP58,OUT017,3794.07513
FDV49,OUT017,4159.545219
FDY24,OUT019,87.0740962
NCO55,OUT017,1617.231618
FDR13,OUT017,1819.024599
FDS51,OUT017,755.4355104
FDP26,OUT045,1612.717196
NCB54,OUT027,3058.772913
FDF32,OUT017,3023.385188
FDN31,OUT018,2675.624936
DRM48,OUT017,593.259646
FDN20,OUT049,2684.426952
DRL01,OUT046,3957.135389
FDV56,OUT049,1625.430518
DRH13,OUT027,2733.656551
FDA03,OUT017,2325.47651
FDF47,OUT027,5660.903802
FDX32,OUT046,2343.460113
FDX57,OUT049,1506.637475
NCA30,OUT045,2920.337115
FDO49,OUT013,699.3446077
FDL04,OUT019,232.1753734
DRM48,OUT035,616.1105983
FDR16,OUT013,3755.560105
NCC19,OUT018,2645.618305
NCE42,OUT045,3386.542159
FDY24,OUT017,848.7669339
FDH19,OUT049,2766.817494
FDJ46,OUT013,2814.721261
FDN45,OUT010,491.27558
FDY08,OUT035,2334.602377
FDZ37,OUT035,1472.290378
NCT30,OUT045,718.7429101
DRY23,OUT018,510.058349
NCZ30,OUT018,1650.24432
FDC44,OUT018,1531.820242
FDB45,OUT035,1505.912046
FDY04,OUT013,2513.60495
FDM27,OUT046,2510.646836
FDZ43,OUT017,4009.582875
FDT39,OUT019,302.7982871
NCC06,OUT019,295.0911607
FDL15,OUT027,3905.768389
FDL57,OUT017,4066.133897
FDU08,OUT046,1532.111724
FDK40,OUT017,4158.737215
FDQ12,OUT010,611.4693082
FDS48,OUT017,2391.741359
FDP09,OUT045,3559.168556
FDW21,OUT049,1655.794457
FDY25,OUT035,3090.945871
DRE13,OUT017,1431.258518
FDV43,OUT019,17.122065
FDD22,OUT045,1702.90093
FDM46,OUT019,220.8301945
NCO30,OUT010,438.1803296
FDM25,OUT046,2880.39977
NCN41,OUT049,1831.860436
FDU24,OUT045,1500.802908
FDZ50,OUT046,3049.29097
FDP45,OUT013,4016.499242
NCM54,OUT045,1841.476097
FDW10,OUT019,467.9619147
FDP20,OUT017,1850.547549
FDK32,OUT046,2412.891319
FDN52,OUT049,1437.140549
FDM58,OUT045,1678.16299
FDZ46,OUT027,2831.265137
NCA18,OUT018,1588.940633
FDD35,OUT046,1842.390078
NCK31,OUT035,753.5207193
FDI40,OUT027,2649.012957
FDT50,OUT019,209.3190993
NCT06,OUT046,2547.830741
FDT31,OUT035,3019.763961
FDT45,OUT049,781.3650502
FDT13,OUT045,2920.677101
FDO50,OUT045,1350.769238
NCU18,OUT010,309.3756295
NCR54,OUT049,3046.542951
NCO18,OUT018,2567.170568
FDU09,OUT045,802.6368452
FDT13,OUT018,2609.202979
FDE09,OUT046,1756.183495
NCK53,OUT019,225.4025581
FDG45,OUT049,3803.290202
DRH15,OUT035,700.744394
FDO21,OUT019,536.5081071
FDD14,OUT027,4951.581233
FDC09,OUT046,1570.81668
FDH45,OUT027,1213.798175
FDV32,OUT046,835.1751837
FDG12,OUT035,1912.504325
FDS32,OUT013,2195.825771
NCL55,OUT018,3446.247272
DRE01,OUT035,4059.642731
DRE15,OUT049,1338.320254
NCL42,OUT045,3736.199706
FDP31,OUT013,650.40844
FDN33,OUT018,1376.196048
FDZ59,OUT046,2620.977331
FDE45,OUT010,485.8985287
FDJ07,OUT013,1829.737233
FDQ45,OUT018,2613.318526
FDM33,OUT027,5732.359926
FDO15,OUT010,132.0642063
FDM46,OUT013,1462.952422
FDR03,OUT045,3717.975616
FDY49,OUT018,2299.251619
FDQ60,OUT045,1826.814763
FDW10,OUT049,2579.759843
FDO51,OUT049,726.2541949
FDJ40,OUT018,1414.943155
FDS20,OUT018,2613.712434
FDU45,OUT013,1749.201342
FDV02,OUT035,2709.676986
FDN09,OUT046,3846.427483
NCM55,OUT027,4929.911645
FDN23,OUT018,2121.680246
FDY31,OUT010,324.7290322
FDW03,OUT010,248.1445937
FDD14,OUT046,2890.461025
FDV23,OUT017,1886.359256
DRI03,OUT045,2760.658438
FDN13,OUT035,1528.743892
FDF45,OUT027,1466.897033
FDU46,OUT035,1490.250813
FDB57,OUT049,3787.367458
FDV12,OUT049,1512.906243
FDQ58,OUT013,2432.387271
NCA18,OUT017,1820.923937
FDH52,OUT049,841.6875586
FDM24,OUT018,2204.892014
NCP43,OUT027,4873.371593
NCO18,OUT019,459.2202035
FDM32,OUT017,1358.896332
NCL07,OUT017,599.136616
FDK03,OUT013,4144.126992
FDP59,OUT017,1462.853346
FDQ24,OUT049,4149.082416
FDQ16,OUT018,1417.456072
FDU44,OUT013,2544.95074
FDH28,OUT010,27.98691146
FDV28,OUT019,3.59310307
FDM22,OUT045,747.8057053
FDR56,OUT046,2972.119694
FDV39,OUT049,3077.235864
FDU37,OUT019,166.8451468
FDQ11,OUT010,621.8535462
FDX02,OUT045,3734.857481
NCS42,OUT018,1310.890088
FDY57,OUT027,2533.195298
FDB21,OUT049,3960.07362
FDE28,OUT017,3930.952741
FDQ55,OUT017,1781.779448
FDA48,OUT049,3863.199271
FDZ19,OUT045,2742.397693
NCC43,OUT045,3798.028656
NCV18,OUT046,1452.133831
NCA42,OUT018,2260.812855
FDY45,OUT046,3954.069467
NCC30,OUT045,2795.217763
FDM57,OUT013,1397.481928
FDL09,OUT010,380.5839951
FDB09,OUT027,3061.708436
FDT44,OUT035,1816.821969
NCT06,OUT027,4182.497231
FDX26,OUT049,3000.278066
FDK32,OUT013,2392.256415
DRA12,OUT046,2284.753112
FDO46,OUT010,495.3056779
FDE52,OUT013,1379.316986
NCH42,OUT045,3672.731107
FDV08,OUT035,674.642471
FDB47,OUT018,3125.856983
FDC28,OUT010,266.4337516
FDD22,OUT046,1791.221191
FDS07,OUT027,2942.854035
DRI13,OUT045,3797.538194
FDG32,OUT018,3219.36416
FDU14,OUT017,4159.771626
FDD28,OUT019,104.0385411
NCP41,OUT017,1643.808326
FDS08,OUT049,2837.04834
FDX47,OUT045,2465.22532
FDC53,OUT019,225.064067
FDQ19,OUT035,3984.64323
FDL14,OUT045,2408.149216
FDM33,OUT019,527.1808101
FDA51,OUT045,1795.539275
FDZ27,OUT018,593.2318678
FDT04,OUT046,621.4407045
DRC13,OUT049,1915.676317
FDR16,OUT027,5789.443808
FDQ03,OUT027,6002.15687
FDE38,OUT035,2694.674215
DRH23,OUT027,1401.186919
FDT11,OUT019,512.9567132
FDD09,OUT035,3003.424479
FDR40,OUT045,1382.965018
FDX07,OUT017,2996.348159
FDR07,OUT035,1374.950828
FDA51,OUT017,1842.25182
FDT59,OUT019,577.8558463
FDF20,OUT017,3057.933243
FDR13,OUT045,1742.467907
FDY26,OUT049,3708.3083
FDW04,OUT017,1920.266405
FDK52,OUT017,3862.009533
FDN60,OUT049,2430.406778
FDM09,OUT019,447.0184148
FDP46,OUT049,1394.225993
FDB50,OUT019,167.6406564
NCQ29,OUT049,4145.88137
FDP16,OUT027,6054.350784
FDX33,OUT018,2308.212091
FDP07,OUT010,426.0188
FDN22,OUT046,3921.607219
FDF39,OUT049,4122.259145
FDS21,OUT017,784.5923971
NCM42,OUT013,1674.098607
FDK50,OUT019,344.8979516
DRF13,OUT027,3849.742161
FDH35,OUT018,2257.725348
FDP60,OUT018,1329.251067
DRJ49,OUT027,3104.122617
NCT42,OUT019,333.1196338
FDE38,OUT049,2652.739443
FDI04,OUT049,3099.6512
NCH54,OUT045,2423.996502
FDT56,OUT049,800.1630699
DRD15,OUT018,3296.536899
FDV58,OUT013,2685.343263
FDP21,OUT049,3085.549031
FDH05,OUT013,3911.092224
FDR10,OUT027,4165.170024
NCP06,OUT045,2275.523301
FDF33,OUT049,1660.270997
DRK37,OUT013,3093.435341
DRH49,OUT045,1301.620934
FDT58,OUT013,2651.44859
FDD41,OUT018,1469.879809
FDP40,OUT018,1536.496874
FDM51,OUT027,2641.511619
FDO45,OUT010,174.0065701
FDW33,OUT010,244.5888538
FDY24,OUT045,830.0334999
FDB10,OUT010,562.887936
FDM40,OUT035,2357.619645
NCI06,OUT017,3051.112381
FDW12,OUT019,307.6072874
FDX48,OUT027,3972.883862
NCW05,OUT027,2713.712086
FDX27,OUT017,1387.980364
DRM37,OUT045,3004.756993
FDA38,OUT045,3787.422701
FDR36,OUT046,675.2747066
FDZ45,OUT046,3033.115624
FDG05,OUT017,2529.147256
FDK28,OUT013,4171.836409
FDV47,OUT045,1348.277362
FDN21,OUT045,2448.82778
FDP20,OUT027,3069.850948
FDI35,OUT045,2949.487585
DRY23,OUT013,620.9744825
FDA56,OUT017,1891.820238
FDB09,OUT013,1805.723058
NCO26,OUT027,2941.575822
FDQ49,OUT018,2163.16297
FDI52,OUT027,3006.919692
FDZ44,OUT027,2941.834998
FDZ09,OUT018,2288.438978
FDY03,OUT049,1745.673791
NCG42,OUT017,1885.723247
DRI13,OUT027,5870.714461
FDQ32,OUT013,1832.639494
FDW16,OUT035,1407.445191
FDU27,OUT046,699.5182172
FDR28,OUT010,327.0426241
FDQ49,OUT010,310.3266225
FDS37,OUT046,1819.677266
FDW26,OUT018,3260.977143
FDX12,OUT018,3323.26097
NCP06,OUT013,2324.530707
FDW45,OUT010,327.5559956
NCN30,OUT049,1467.030579
FDN24,OUT049,755.8150105
NCL41,OUT027,1153.172096
FDR02,OUT019,231.4005905
FDD09,OUT010,462.3544216
FDS33,OUT010,205.4032222
FDU22,OUT045,1792.809129
FDI53,OUT013,2562.752997
DRH01,OUT049,2825.009868
FDX32,OUT013,2252.671796
NCP30,OUT018,477.9499354
FDB60,OUT045,2998.497657
FDB14,OUT049,1392.957061
NCP02,OUT035,878.3411575
FDJ10,OUT017,2290.236392
FDG34,OUT046,1739.493983
NCB18,OUT017,1361.675898
FDM16,OUT049,1402.581198
FDW25,OUT018,1288.23684
FDB35,OUT010,182.1413888
DRN11,OUT013,2341.218841
FDF41,OUT019,617.7080397
FDH16,OUT045,1372.158522
NCQ50,OUT018,3076.14344
DRH23,OUT018,634.398603
DRJ37,OUT013,2433.167407
DRJ24,OUT027,5007.542235
FDY16,OUT035,3007.928042
FDQ27,OUT045,1649.470176
FDZ33,OUT045,2376.291408
FDF29,OUT045,1840.325751
FDA08,OUT049,2609.479922
FDG31,OUT046,802.4323445
FDE34,OUT019,471.0682716
NCR30,OUT027,2359.236554
FDV33,OUT035,4107.73487
DRZ24,OUT018,1657.920908
NCL54,OUT035,2929.987641
FDR12,OUT049,2858.19104
NCC54,OUT046,3872.635462
DRN59,OUT013,644.2075764
FDX50,OUT019,250.2668007
FDV31,OUT027,4787.275808
NCA29,OUT027,4604.827664
FDW60,OUT049,2958.224376
FDX08,OUT017,3057.226893
DRD49,OUT013,3994.895677
FDD33,OUT046,3847.095116
FDW35,OUT013,609.3978129
FDJ36,OUT017,1560.490053
FDV51,OUT035,2645.409324
FDW36,OUT046,1612.733406
FDH35,OUT046,2549.928177
NCS30,OUT027,3094.67934
FDN49,OUT017,613.6422871
FDL08,OUT018,3338.713007
FDI09,OUT013,3737.182788
FDP19,OUT018,1632.957596
FDU21,OUT010,2.20278149
NCP41,OUT045,1566.202261
FDY10,OUT013,1737.081761
FDP12,OUT018,505.9509672
NCN26,OUT049,1827.339791
FDK44,OUT013,2738.342815
FDC28,OUT049,1706.937596
FDJ41,OUT027,6169.808124
NCT29,OUT035,1890.793428
NCH42,OUT019,564.5640688
FDU60,OUT018,2329.359276
FDS02,OUT045,3012.854243
FDC51,OUT046,1865.418791
FDU03,OUT013,2921.35589
FDX39,OUT045,3701.022649
NCY05,OUT010,29.32702527
NCL06,OUT027,6064.577557
FDD32,OUT035,1378.369696
NCN41,OUT045,1781.515286
NCX53,OUT049,2243.280581
FDU57,OUT019,335.8350987
FDQ23,OUT046,1676.003756
FDQ52,OUT045,3932.712258
FDC14,OUT045,600.3323072
FDY09,OUT035,2866.546563
FDQ28,OUT045,2389.41024
FDV25,OUT046,3790.515336
FDJ07,OUT035,1886.750811
DRB25,OUT049,1619.023923
FDK52,OUT019,580.3369471
FDY52,OUT027,1458.36505
FDB28,OUT046,3026.616062
FDT36,OUT035,633.1550902
FDV25,OUT017,3904.529187
NCN07,OUT027,3070.914122
FDC57,OUT017,3013.180758
FDQ03,OUT018,3292.377124
FDU23,OUT017,2700.101874
NCX41,OUT035,3856.148263
NCD06,OUT035,731.9664744
FDW08,OUT045,1581.83195
NCU29,OUT017,2373.286388
NCE06,OUT013,2526.56718
FDV52,OUT010,209.066417
FDB02,OUT017,2861.786142
NCR18,OUT045,630.7290827
FDK16,OUT049,1492.122904
NCQ29,OUT010,644.2661131
FDZ01,OUT019,228.0751722
FDW27,OUT035,2534.277653
FDD17,OUT018,3300.408761
FDW39,OUT013,2825.702991
DRH59,OUT045,1329.656255
FDS52,OUT013,1585.838648
FDU40,OUT027,5044.555328
NCF54,OUT013,2742.747577
FDH46,OUT045,1621.927162
NCP14,OUT049,1677.362982
FDH50,OUT049,3046.966903
DRF15,OUT010,311.6068952
FDV27,OUT027,2429.611686
NCJ06,OUT049,1810.378022
FDN02,OUT018,3156.260095
FDQ51,OUT049,708.4895209
FDQ07,OUT017,3921.017342
FDS45,OUT049,1731.103962
NCJ06,OUT045,1763.63767
FDD36,OUT035,1800.794544
FDY25,OUT045,2945.38471
FDU52,OUT046,2424.182015
DRK47,OUT017,3897.931204
NCL30,OUT017,1875.572145
FDN22,OUT035,4084.131723
NCF30,OUT027,3060.115106
FDK03,OUT035,4235.551537
FDT45,OUT017,762.9603496
NCC54,OUT027,5980.866479
FDP08,OUT018,2604.317585
FDU44,OUT046,2584.743502
DRG39,OUT035,757.7013792
FDU32,OUT049,1872.565985
FDY27,OUT049,2958.981809
NCP54,OUT013,1836.995574
NCZ41,OUT049,1833.135243
DRL49,OUT013,2287.209279
FDI05,OUT018,1235.713295
FDY56,OUT045,3777.270972
DRC13,OUT013,1897.331756
NCV29,OUT017,2971.404658
FDR24,OUT049,1364.549498
FDZ34,OUT018,2708.781859
FDP37,OUT035,1914.880504
FDX08,OUT027,4932.183255
FDS57,OUT045,2227.711375
NCG18,OUT049,1604.539326
FDK25,OUT018,2513.86937
FDH53,OUT049,1315.906067
DRI59,OUT018,3208.882437
FDA52,OUT046,2783.346175
FDT20,OUT010,4.04662933
FDE36,OUT019,344.5172257
FDI24,OUT017,2840.994634
FDB28,OUT018,2676.718147
FDV11,OUT017,2903.597052
FDP01,OUT046,2411.872925
FDD34,OUT027,4156.190982
FDJ50,OUT027,1373.812417
FDZ44,OUT013,1807.065992
DRO59,OUT035,1405.607557
DRB48,OUT045,598.2926631
FDR21,OUT018,2484.559042
NCE42,OUT010,381.6406864
FDO23,OUT046,1408.86321
NCE30,OUT018,3138.315616
FDQ22,OUT035,635.0570578
FDY01,OUT045,1740.752217
FDS08,OUT017,2862.000566
FDG28,OUT018,3319.705012
FDQ51,OUT018,550.5659295
FDB05,OUT017,4135.192407
FDO56,OUT049,1814.391959
FDE02,OUT018,1270.844282
FDN45,OUT017,3744.307331
FDS09,OUT013,715.9109498
NCA54,OUT018,2560.514524
FDP09,OUT010,467.554072
FDC53,OUT045,1509.309908
NCM55,OUT017,3033.229192
FDL09,OUT018,2404.617513
FDA11,OUT019,191.5153225
FDA50,OUT045,1388.182179
FDC23,OUT017,2885.138553
FDE22,OUT049,2539.949148
FDD23,OUT046,3098.984267
NCA29,OUT049,2843.149486
FDK38,OUT046,2359.496444
DRC13,OUT046,1860.841613
NCP43,OUT049,2889.522579
FDX28,OUT049,1610.556335
FDF08,OUT049,1401.623249
FDZ33,OUT046,2437.802366
FDD10,OUT049,2868.335342
FDO58,OUT017,2511.353254
FDI50,OUT017,3987.847104
FDO58,OUT045,2524.062072
FDX08,OUT013,3013.371474
NCK17,OUT010,10.85138873
FDF39,OUT035,4233.153687
FDU45,OUT010,256.1263524
NCJ18,OUT018,1605.031488
DRC27,OUT019,605.5196257
DRC25,OUT035,1474.828527
FDU59,OUT035,2621.377704
FDU28,OUT035,3060.468456
NCP30,OUT046,608.5988809
FDB39,OUT018,635.5791505
FDE41,OUT013,1414.731909
DRH11,OUT010,103.4565382
FDA58,OUT045,3703.409925
FDU50,OUT046,1853.105775
FDM34,OUT013,1845.625277
FDM44,OUT027,2661.362778
FDR39,OUT045,2871.857095
FDM25,OUT045,2820.355126
FDQ49,OUT049,2469.463687
DRH25,OUT018,619.0084931
FDM09,OUT027,4566.197508
FDL44,OUT019,338.7487644
NCR42,OUT018,476.2484328
DRL59,OUT046,729.7396566
FDX43,OUT013,2631.401945
DRK47,OUT010,573.9629035
FDU48,OUT018,1645.532764
FDY12,OUT045,730.9104744
NCN43,OUT018,1610.200299
NCM55,OUT018,2619.796911
FDQ21,OUT027,3039.133329
FDX13,OUT035,4229.214257
NCK30,OUT027,6093.791375
FDG20,OUT049,2812.891658
DRG27,OUT017,621.7190338
FDY14,OUT018,3450.402589
FDP59,OUT035,1520.086667
FDU60,OUT017,2683.128404
NCC18,OUT019,439.7700926
DRJ39,OUT017,3823.293994
FDS07,OUT049,1776.513044
FDM08,OUT027,5897.170076
FDP51,OUT045,1759.836201
FDU16,OUT035,1368.564421
FDH12,OUT013,1605.30954
DRE48,OUT010,509.4843963
NCL42,OUT027,5996.94628
